temperature,humidity,pressure,gas,altitude,xg,yg,zg,mic,emf,light,ain,vMic,vEmf,vLight,vAin,us_raw,us_compensated,time_of_flight,status,,,,,
30.957989,17.32521946,100,429,53.839603,0.025391,-0.013672,1.005859,9,686,673,204,0.027,2.058,2.019,0.612,1963,1981.50354,10195050.95,Not Cooking,,,,,
30.837921,16.19856184,100,410,53.839603,0.023438,-0.005859,0.994141,9,685,679,204,0.027,2.055,2.037,0.612,2180,1973.624023,10177583.7,Not Cooking,,,,,
30.766256,14.61925622,100,406,53.755703,0.017578,-0.017578,0.994141,8,687,703,203,0.024,2.061,2.109,0.609,2090,1970.964355,10177583.7,Not Cooking,,,,,
30.721622,16.174395,100,404,53.755703,0.017578,-0.013672,1,7,686,696,202,0.021,2.058,2.088,0.606,2394,1969.448975,10177583.7,Not Cooking,,,,,
30.693335,15.97803487,100,399,53.755703,0.015625,-0.013672,1.007812,8,685,671,203,0.024,2.055,2.013,0.609,2191,1967.666016,10177583.7,Not Cooking,,,,,
30.67919,15.90463754,100,396,53.672306,0.03125,-0.023438,0.992188,7,686,694,201,0.021,2.058,2.082,0.603,2146,1967.308472,10177583.7,Not Cooking,,,,,
30.667873,14.79269065,100,394,53.672306,0.015625,-0.019531,1,9,687,643,203,0.027,2.061,1.929,0.609,2118,1967.15332,10177583.7,Not Cooking,,,,,
30.662531,14.89007341,100,387,53.672306,0.013672,-0.007812,1,8,687,705,203,0.024,2.061,2.115,0.609,2162,1975.136597,10218340.61,Not Cooking,,,,,
30.654043,16.87810893,100,382,53.755703,0.019531,-0.015625,1.021484,7,685,654,201,0.021,2.055,1.962,0.603,2167,1970.314331,10195050.95,Not Cooking,,,,,
30.654673,13.34498389,100,385,53.672306,0.023438,-0.017578,0.994141,9,686,705,203,0.027,2.058,2.115,0.609,2033,1966.645386,10177583.7,Not Cooking,,,,,
30.649958,16.50150758,100,393,53.755703,0.025391,-0.009766,1,7,686,685,200,0.021,2.058,2.055,0.6,2371,1969.746338,10195050.95,Not Cooking,,,,,
30.654987,13.07587767,100,397,53.672306,0.023438,-0.011719,1.025391,8,687,663,203,0.024,2.061,1.989,0.609,1965,1966.336426,10177583.7,Not Cooking,,,,,
30.659073,14.82828349,100,405,53.755703,0.025391,-0.009766,1.003906,8,687,705,202,0.024,2.061,2.115,0.606,1851,1966.443115,10177583.7,Not Cooking,,,,,
30.670704,17.06586316,100,411,53.755703,0.017578,-0.013672,1.005859,9,685,655,203,0.027,2.055,1.965,0.609,2043,1962.220825,10154294.03,Not Cooking,,,,,
30.681391,14.85740628,100,414,53.755703,0.019531,-0.005859,1.001953,8,686,702,203,0.024,2.058,2.106,0.609,2089,1967.086182,10177583.7,Not Cooking,,,,,
30.680447,14.053593,100,415,53.839603,0.023438,-0.015625,0.988281,8,686,661,202,0.024,2.058,1.983,0.606,1901,1962.634155,10154294.03,Not Cooking,,,,,
30.681705,16.13448197,100,419,53.672306,0.019531,-0.007812,0.986328,9,687,704,203,0.027,2.061,2.112,0.609,2434,1962.804443,10154294.03,Not Cooking,,,,,
30.688934,17.14819484,100,418,53.755703,0.017578,-0.011719,0.988281,7,685,663,200,0.021,2.055,1.989,0.6,1778,1967.698486,10177583.7,Not Cooking,,,,,
30.692392,15.69774964,100,421,53.755703,0.025391,-0.007812,1.013672,9,686,708,202,0.027,2.058,2.124,0.606,1989,1963.236694,10154294.03,Not Cooking,,,,,
30.691763,17.25839778,100,422,53.755703,0.013672,0,1.009766,10,686,652,201,0.03,2.058,1.956,0.603,2475,1967.973511,10177583.7,Not Cooking,,,,,
30.689877,13.49685357,100,424,53.672306,0.021484,0.005859,0.974609,7,687,705,203,0.021,2.061,2.115,0.609,2037,1968.032227,10177583.7,Not Cooking,,,,,
30.692392,16.30249057,100,427,53.672306,0.017578,-0.009766,0.994141,8,685,655,202,0.024,2.055,1.965,0.606,1883,1968.131348,10177583.7,Not Cooking,,,,,
30.693964,13.48995774,100,428,53.755703,0.019531,-0.015625,1.005859,9,686,708,201,0.027,2.058,2.124,0.603,2288,1968.066162,10177583.7,Not Cooking,,,,,
30.699619,13.20300167,100,428,53.755703,0.013672,-0.003906,1.017578,9,686,644,202,0.027,2.058,1.932,0.606,2446,1963.551025,10154294.03,Not Cooking,,,,,
30.704962,13.73195857,100,428,53.755703,0.027344,-0.007812,1.013672,9,687,705,201,0.027,2.061,2.115,0.603,1715,1963.585938,10154294.03,Not Cooking,,,,,
30.711563,14.67039914,100,424,53.839603,0.023438,-0.007812,1.011719,7,685,665,201,0.021,2.055,1.995,0.603,2125,1963.742676,10154294.03,Not Cooking,,,,,
30.715336,14.43952473,100,428,53.672306,0.021484,-0.013672,0.998047,9,686,705,203,0.027,2.058,2.115,0.609,2366,1963.866699,10154294.03,Not Cooking,,,,,
30.713764,17.00953274,100,426,53.672306,0.019531,-0.009766,0.988281,7,686,690,202,0.021,2.058,2.07,0.606,2347,1963.883423,10154294.03,Not Cooking,,,,,
30.713449,14.14399361,100,426,53.588406,0.027344,-0.011719,0.998047,9,688,685,201,0.027,2.064,2.055,0.603,1772,1963.949707,10154294.03,Not Cooking,,,,,
30.716593,15.53311095,100,425,53.421112,0.017578,-0.007812,1.001953,9,686,694,203,0.027,2.058,2.082,0.609,1723,1960.594727,10136826.78,Not Cooking,,,,,
30.718792,16.85718591,100,428,53.504505,0.023438,-0.009766,1.017578,9,686,705,202,0.027,2.058,2.115,0.606,1908,1960.638794,10136826.78,Not Cooking,,,,,
30.722879,16.34773681,100,431,53.421112,0.019531,-0.011719,1,7,686,684,202,0.021,2.058,2.052,0.606,2318,1960.720703,10136826.78,Not Cooking,,,,,
30.726023,15.00538484,100,425,53.421112,0.021484,-0.007812,0.988281,8,688,673,203,0.024,2.064,2.019,0.609,2184,1972.202515,10195050.95,Not Cooking,,,,,
30.728222,14.97039354,100,422,53.337723,0.023438,-0.011719,1.005859,9,685,657,202,0.027,2.055,1.971,0.606,2017,1960.803711,10136826.78,Not Cooking,,,,,
